form1,form2
kuur,kuur
kekuur,keɡuur
ŋokta,ŋokta
ŋokiik,ŋoɡiik
kɛtɛp,kɛtɛp
itepe,itebe
ker,ker
keker,keɡer
put,put
keput,kebut
poor,poor
kepoor,keboor
ŋeljepta,ŋeljepta
ŋeljepwek,ŋeljebwek
kisipʧi,kisipʧi
iŋkurwet,iŋɡurwet
kipkirui,kipkirui
kepaakpaak,kabaakpaak
pʊnpʊn,pʊnbʊn
tilɑkse,tilakse
kirkit,kirɡit
kakjam,kaɡjam
taaptɛɛt,taaptɛɛt
kepritɑmɛɛt,kebritamɛɛt
kɪplaŋat,kɪblaŋat
peeʧiŋke,peeʧiŋɡe
