Unsuffixed,Suffixed,Gloss
kap,kap+ɛt,head
ʎop,ʎoβ+ə,wolf
pətit,pətit+ə,small
kəzat,kəzað+ə,married
tot,tot+ə,all
fɾɛt,fɾɛð+ə,cold
ɡɾos,ɡɾos+ə,large
ɡɾis,ɡɾiz+ə,grey
nas,nas+us,nose
bas,baz+us,glass
peʃ,peʃ+us,fish
boʧ,boʒ+ə,crazy
kəlaʃ,kəlaʃ+os,drawer
rɔʧ,rɔʒ+ə,red
məteʃ,məteʃ+ə,same
pəseʧ,pəseʒ+a,walk
əskiʧ,əskiʧ+a,splash
ʎeʧ,ʎeʤ+ə,ugly
dəspaʧ,dəspaʧ+os,office
miʧ,miʤ+ə,half
sek,sek+ə,dry
sek,seɣ+ə,blind
