form1,form2,gloss
klup,klubi,club
trup,trupi,corpse
dom,domi,house
snop,snopi,sheaf
ʒwup,ʒwobi,crib
trut,trudi,labor
dzvon,dzvoni,bell
kot,koti,cat
lut,lodi,ice
grus,gruzi,rubble
nos,nosi,nose
vus,vozi,cart
wuk,wugi,lye
wuk,wuki,bow
sok,soki,juice
ruk,rogi,horn
bur,bori,forest
vuw,vowi,ox
sul,soli,salt
buj,boji,fight
ʃum,ʃumi,noise
ʒur,ʒuri,soup
