form1,form2
ʔajdu,ʔaddu
ʔajʔra,ʔajʔra
ʔajhiʔrãti,ʔajhiʔrãti
ʔajto,ʔatto
ʔajʔwa,ʔajʔwa
ʔajbrɔ,ʔajbrɔ
ʔajʃɛːrɛ,ʔaʃʃɛːre
ʔajpaːra,ʔajpaːra
ʔajbãːbã,ʔajbãːbã
