form1,form2
enɔk,enɔq
enok,enoq
eket,eket
nʧiku,nʧiku
nek,nek
ejwɑrek,ejwɑrek
ŋɡɑk,ŋɡɑq
ekɑk,ekɑq
mək,mək
nɑk,nɑq
ndek,ndek
pɔbrik,pɔbrik
betək,betək
bepək,bepək
tiku,tiku
ku,ku
ɑjuk,ɑjuk
esikɔŋ,esikɔŋ
kebwep,kebwep
ŋkɔk,ŋkɔq
ŋkɑp,ŋkɑp
kɔ,kɔ
