form1,form2
kano,kano
kori,kori
xano,xano
xori,xori
xino,xʲino
kino,kʲino
krima,krima
xrima,xrima
xufta,xufta
kufeta,kufeta
kali,kali
xali,xali
xeli,xʲeli
keri,kʲeri
xeri,xʲeri
oxi,oxʲi
