form1,form2
kano,kano
kori,kori
xano,xano
xori,xori
xino,çino
kino,cino
krima,krima
xrima,xrima
xufta,xufta
kufeta,kufeta
kali,kali
xali,xali
xeli,çeli
keri,ceri
xeri,çeri
oxi,oçi
