form1,form2
skaka,skaka
sdɯbɯ,ʃdɯbɯ
sʧaku,sʧaku
skunu,skunu
sʤaʔa,ʃʤaʔa
shaa,shaa
staka,staka
slili,ʃlili
sndata,ʃndata
