form1,form2,gloss
kano,kano,do
kori,kori,daughter
xano,xano,lose
xori,xori,dances
xino,xʲino,pour
kino,kʲino,move
krima,krima,shame
xrima,xrima,money
xufta,xufta,handful
kufeta,kufeta,bonbons
kali,kali,charms
xali,xali,plight
xeli,xʲeli,eel
keri,kʲeri,candle
xeri,xʲeri,hand
oxi,oxʲi,no
